Borough ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bronx,109552,112906,110629,109253,108009,104837,102658,100018,101361,102868,104594
Brooklyn,154436,151016,152352,147444,148263,147893,150966,146490,144924,140868,138048
Manhattan,124601,125847,125013,121161,117952,111939,115783,114343,109259,110766,113353
Queens,100862,101038,98581,93620,93552,92733,92389,95561,94071,92360,93123
Staten Island,26142,25059,25844,23532,23316,22540,22806,21797,22027,21773,21604
