BORO_NM,"BROOKLYN
 [1623060]","MANHATTAN
 [1290017]","BRONX
 [1166685]","QUEENS
 [1047890]","STATEN ISLAND
 [256440]"
HADEVELOPT,"CASTLE HILL
 [5992]","VAN DYKE I
 [4827]","MARCY
 [4505]","BUTLER
 [4249]","LINCOLN
 [4224]"
JURIS_DESC,"N.Y. POLICE DEPT
 [4803716]","N.Y. HOUSING POLICE
 [418048]","N.Y. TRANSIT POLICE
 [109724]","OTHER
 [14489]","PORT AUTHORITY
 [12924]"
KY_CD,"341
 [882830]","578
 [661474]","344
 [565158]","351
 [462759]","109
 [460686]"
LAW_CAT_CD,"MISDEMEANOR
 [3058480]","FELONY
 [1652665]","VIOLATION
 [673022]"
LOC_OF_OCCUR_DESC,"INSIDE
 [2693268]","FRONT OF
 [1274814]","OPPOSITE OF
 [151021]","REAR OF
 [120588]","OUTSIDE
 [2960]"
PARKS_NM,"CENTRAL PARK
 [724]","FLUSHING MEADOWS CORONA PARK
 [545]","CONEY ISLAND BEACH & BOARDWALK
 [295]","RIVERSIDE PARK
 [295]","MARCUS GARVEY PARK
 [210]"
PD_CD,"101.0
 [472821]","638.0
 [409228]","639.0
 [299253]","637.0
 [252186]","333.0
 [237410]"
PREM_TYP_DESC,"STREET
 [1787451]","RESIDENCE - APT. HOUSE
 [1120032]","RESIDENCE-HOUSE
 [533003]","RESIDENCE - PUBLIC HOUSING
 [409834]","COMMERCIAL BUILDING
 [141351]"
