short_name,long_name,Borough,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
population,Population,Bronx,1327690,1309640,1361473,1373659,1391903,1397287,1386657,1392002,1408473,1418733,1438159,1455444,1455720
population,Population,Manhattan,1529375,1529774,1611581,1620867,1634795,1629054,1586698,1601948,1619090,1626159,1636268,1644518,1643734
population,Population,Queens,2242159,2215339,2255175,2270338,2293007,2306712,2233841,2247848,2272771,2296175,2321580,2339150,2333054
population,Population,Brooklyn,2465326,2446016,2508820,2528050,2556598,2567098,2508340,2532645,2565635,2592149,2621793,2636735,2629150
population,Population,Staten Island,443728,455344,477377,481613,487407,491730,469363,470467,470728,472621,473279,474558,476015
